elogio_ou_queixa,grupo,motivo,comentario_p1
QUEIXA,ADMINISTRATIVO,TEMPO DE ESPERA,"Mandaram eu chegar 6h da manhã,  quando cheguei lá fui informada que minha cirurgia era 11h e só faria minha entrada 10h"
ELOGIO,ADMINISTRATIVO,QUALIDADE,"Não tenho insatisfação, fui muito bem atendida por todos"
QUEIXA,ADMINISTRATIVO,TEMPO DE ESPERA,"A cirurgia que era pra ter sido feita no dia 31/07 ela não aconteceu, Siqueira no hospital de 8hs da manhã até às 15.15hs aguardando em jejum pra cirurgia não acontecer ##1f621## . Porém a cirurgia foi feita em 21/8 aí sim....... satisfeita com cirurgia bem sucedida só que com um problema, só foi colocado o colar cervical no momento da minha alta, acho que isso foi em erro, mais td bem, acabou dando certo##1f926-200d-2640-fe0f##"
QUEIXA,ADMINISTRATIVO,TEMPO DE ESPERA,Achei muito demorado para a realização da cirurgia. 
QUEIXA,ADMINISTRATIVO,TEMPO DE ESPERA,Muita demora em tudo
QUEIXA,ADMINISTRATIVO,TEMPO DE ESPERA,Demora para realizar internação.
QUEIXA,ADMINISTRATIVO,QUALIDADE,"O hospital estava tendo queda de luz, estavam fazendo manutenção nos geradores.
Estavam sem ar condicionado"
QUEIXA,RECEPÇAO,TEMPO DE ESPERA,nan
QUEIXA,ADMINISTRATIVO,ACOLHIMENTO,Povo não muito receptivo
QUEIXA,ADMINISTRATIVO,ACOLHIMENTO,Me senti totalmente perdida e ninguém dá bola pra isso
QUEIXA,ADMINISTRATIVO,ACOLHIMENTO,Todas as vezes que cheguei ao hospital necessitando de cadeira de rodas e suporte ! Não tive .
QUEIXA,ADMINISTRATIVO,TEMPO DE ESPERA,"Demora no atendimento ,demora pro médico chegar ,pois foram mais de 8 horas em jejum uma criança com apenas dois anos achei um absurdo"
QUEIXA,RECEPÇAO,TEMPO DE ESPERA,"O tempo de espera foi muito longo, cheguei por volta de 6:30 minha cirurgia aconteceu mais ou menos 16:40. "
QUEIXA,ADMINISTRATIVO,TEMPO DE ESPERA,nan
QUEIXA,ADMINISTRATIVO,QUALIDADE,"sem maqueiro, um sobe e desce sem local fixo para espera, uma falta de respeito com o acompanhante, comunicação 0, falta de informação, tratamento rude com o paciente"
QUEIXA,ADMINISTRATIVO,QUALIDADE,"Ok. Fiquei horas sentado no sofá, com roupa da cirurgia passando frio com os pés no chão gelado
"
QUEIXA,ADMINISTRATIVO,QUALIDADE,"Demora no atendimento, falta informações a respeito dos horários das visitas"
QUEIXA,ADMINISTRATIVO,TEMPO DE ESPERA,Muita espera para dar informações.
QUEIXA,RECEPÇAO,ACOLHIMENTO,"As recepcionista são muito antipatica , e quando vamos perguntar alguma coisa responde com grosseria"
ELOGIO,ADMINISTRATIVO,QUALIDADE,Rápido
QUEIXA,ADMINISTRATIVO,TEMPO DE ESPERA,"Marcaram minha chegada para as 06:00 e só fui para o bloco cirúrgico as 15:00, achei que o tempo que nós solicitaram pra chegar foi demais pq estávamos em jejum desde o dia anterior"
QUEIXA,ADMINISTRATIVO,TEMPO DE ESPERA,A demora no atendimento
QUEIXA,ADMINISTRATIVO,QUALIDADE,Dificuldade para o boleto
QUEIXA,RECEPÇAO,QUALIDADE,Recepcionista bem apatica e com falta de atenção
QUEIXA,ADMINISTRATIVO,TEMPO DE ESPERA,Já relatei isso em outra avaliação que foi marcado minha cirurgia pra 5:30 da manhã quando chegar lá no hospital brasiliense falam que era 11:45 onde eu já estava a mais de 12 horas de jejum e não tinha ninguém pra responder foi isso
QUEIXA,MAQUEIRO,TEMPO DE ESPERA,"Houve muita demora em relação ao maqueiro. Pelo visto só tinha um, pra atender todos os 6 ou 7 andares. A recepcionista foi muito bem e os porteiros fizeram a parte deles."
QUEIXA,ADMINISTRATIVO,QUALIDADE,"Ficamos esperando em um lugar desconfortável, do começo ao final."
QUEIXA,ADMINISTRATIVO,QUALIDADE,Orientação muito confusa
QUEIXA,RECEPÇAO,TEMPO DE ESPERA,"Fui internada para fazer uma colonoscopia, e fiquei das 6:00hs da manhã até às 20:00hs sem fazer o procedimento só foi feito porque pedir para ir embora, aí então me atenderam. "
QUEIXA,ADMINISTRATIVO,ACOLHIMENTO,"Ninguém conseguiu indicar pra onde eu iria também não tinha ,tive que me virar sozinha andando pra todos lados até achar e quando alguém indica estava errado o lugar"
QUEIXA,ADMINISTRATIVO,TEMPO DE ESPERA,"A demora para efetuar minha internação, eu cheguei no hospital setor de internação por volta das 14 hs
Só fui encaminhada pro 3 andar já era mais de 15 hs lembrando que estava de jejum de 8hs"
