grupo,comentario_p1
ADMINISTRATIVO,"Mandaram eu chegar 6h da manhã,  quando cheguei lá fui informada que minha cirurgia era 11h e só faria minha entrada 10h"
ADMINISTRATIVO,"Não tenho insatisfação, fui muito bem atendida por todos"
ADMINISTRATIVO,"A cirurgia que era pra ter sido feita no dia 31/07 ela não aconteceu, Siqueira no hospital de 8hs da manhã até às 15.15hs aguardando em jejum pra cirurgia não acontecer ##1f621## . Porém a cirurgia foi feita em 21/8 aí sim....... satisfeita com cirurgia bem sucedida só que com um problema, só foi colocado o colar cervical no momento da minha alta, acho que isso foi em erro, mais td bem, acabou dando certo##1f926-200d-2640-fe0f##"
ADMINISTRATIVO,Achei muito demorado para a realização da cirurgia. 
ADMINISTRATIVO,Muita demora em tudo
ADMINISTRATIVO,Demora para realizar internação.
ADMINISTRATIVO,"O hospital estava tendo queda de luz, estavam fazendo manutenção nos geradores.
Estavam sem ar condicionado"
ADMINISTRATIVO,Povo não muito receptivo
ADMINISTRATIVO,Me senti totalmente perdida e ninguém dá bola pra isso
ADMINISTRATIVO,Todas as vezes que cheguei ao hospital necessitando de cadeira de rodas e suporte ! Não tive .
ADMINISTRATIVO,"Demora no atendimento ,demora pro médico chegar ,pois foram mais de 8 horas em jejum uma criança com apenas dois anos achei um absurdo"
RECEPÇAO,"O tempo de espera foi muito longo, cheguei por volta de 6:30 minha cirurgia aconteceu mais ou menos 16:40. "
ADMINISTRATIVO,"sem maqueiro, um sobe e desce sem local fixo para espera, uma falta de respeito com o acompanhante, comunicação 0, falta de informação, tratamento rude com o paciente"
ADMINISTRATIVO,"Ok. Fiquei horas sentado no sofá, com roupa da cirurgia passando frio com os pés no chão gelado
"
ADMINISTRATIVO,"Demora no atendimento, falta informações a respeito dos horários das visitas"
ADMINISTRATIVO,Muita espera para dar informações.
RECEPÇAO,"As recepcionista são muito antipatica , e quando vamos perguntar alguma coisa responde com grosseria"
ADMINISTRATIVO,Rápido
ADMINISTRATIVO,"Marcaram minha chegada para as 06:00 e só fui para o bloco cirúrgico as 15:00, achei que o tempo que nós solicitaram pra chegar foi demais pq estávamos em jejum desde o dia anterior"
ADMINISTRATIVO,A demora no atendimento
ADMINISTRATIVO,Dificuldade para o boleto
RECEPÇAO,Recepcionista bem apatica e com falta de atenção
ADMINISTRATIVO,Já relatei isso em outra avaliação que foi marcado minha cirurgia pra 5:30 da manhã quando chegar lá no hospital brasiliense falam que era 11:45 onde eu já estava a mais de 12 horas de jejum e não tinha ninguém pra responder foi isso
