elogio_ou_queixa,grupo,motivo,comentario_p1
QUEIXA,ADMINISTRATIVO,QUALIDADE,"A quantidade absurda de contribuintes , e a pequena quantidade de profissionais , inclusive a falta de comunicação entre os profissionais , principalmente na área de  ( INTERNAMENTO) , causando a falta de suporte para  o acompanhamento dos profissionais e  principalmente acomodamento dos pacientes !"
QUEIXA,RECEPÇAO,TEMPO DE ESPERA,Eu estive no Tereza de lizeut por conta de um chamado do hospital após um eletrocardiograma .cheguei às 13.30hs e só conseguir um leitor na emergência as 02hs da manhã isso pra mim foi uma falta de respeito
QUEIXA,RECEPÇAO,TEMPO DE ESPERA,"Não tive ajuda alguma de maqueiros ou porteiro ao chegar no hospital, não houve nenhuma atenção por parte das recepcionistas meus acompanhantes tiveram que solicitar um atendimento rápido devido ao estado que eu estava."
QUEIXA,RECEPÇAO,ACOLHIMENTO,"Boa Noite, não fiz cirurgia, foi internação por erizipela fui tranferida na madrugada do hospital  Antônio prudente na ambulância e chegando lá a recepcionista mandou me levar de volta estando meu leitor reservado e devido isso minha situação complicou pois foi parado o s antibióticos até que tudo se resolvesse na tarde do dia seguinte, más quando finalmente fiquei internada fui muito bem atendida por todos"
QUEIXA,RECEPÇAO,TEMPO DE ESPERA,"Demorou muito, uma dificuldade pra internar, após isso foi tudo bem... Porém depois do procedimento ela poderia ter tomado um soro pra ficar mais forte."
QUEIXA,RECEPÇAO,ACOLHIMENTO,O atendimento insatisfatório
QUEIXA,ADMINISTRATIVO,AUTORIZAÇÃO ,Falarampra chegar as 22:00h. Meu esposo so subiu meia noite.
QUEIXA,RECEPÇAO,TEMPO DE ESPERA,Falta de Acolhhimento da recepção. O hospital passou a funcionar sem ter profissionais bem selecionados e treinados no atendimento
QUEIXA,RECEPÇAO,ACOLHIMENTO,Não tinha ninguém pra auxiliar no uso do totem.
QUEIXA,RECEPÇAO,QUALIDADE,"Não explicaram que ele ia ficar o dia todo no hospital, não passaram informações, o exame demora ficamos apreensiva e nada, a equipe médica excelente, explicou o q foi feito.
A insatisfação eh falta de informação da recepção, porteiros e equipe de enfermagem não atender muito"
QUEIXA,ADMINISTRATIVO,TEMPO DE ESPERA,"Somos da cidade de Sorocaba ela chegou em uma segunda feira que estava Marcado para realizar o procedimento chegamos lá hospital não sabia do caso ela ficou uma semana aguardando para fazer angioplastia porque o convênio não liberava tudo pra o procedimento quando chegou na sexta o médico perguntou se autorizamos fazer faltando alguns itens liberamos pois éramos de Sorocaba gastamos mais de 1000 mil de combustível e cuidadora para ficar com ela pois ela tem um filho só eu sou a nora nós trabalhamos não tinha quem ficassem fora o que gastamos de combustível chegou  a hora da cirurgia que foi uma sexta a noite Tiraram a cuidadora por sinal bem mal educados falaram que o quarto é para paciente não para cuidadora ela passou a noite na recepção do hospital até no horário do dia seguinte para receber a alta fiz várias reclamações não adiantou nada ##1f44e##. E então resolvemos entrar com advogado pelo mal atendimento e por terem feito desfeita com pessoa que são de outra cidade e não tinham condições de ficar indo e voltando Sorocaba fizemos reclamação inclusive do atendimento péssimo inclusive do reembolso por todo prejuízo e ninguém resolveu nada porque o hospital daqui de Sorocaba falou que ela ia de ambulância e retomava no mesmo dia ou um dia após nessa brincadeira de mal resolvido sobre as coisas tivemos um prejuízo de 1500 ,00 sendo que ela é aposentada em todos os procedimentos que temos feito com ela aqui em Sorocaba só brigando pra resolver"
QUEIXA,ADMINISTRATIVO,INDISPONIBILIDADE DE LEITO,"O Hospital estava com muitos quartos vagos , mas ficamos 4 horas no PÁ esperando uma ambulância. E ao chegar no hospital mais 4 horas para um quarto , os próprios enfermeiros acharam estranho a demora e disseram q tinha muitos quartos vagos . Após sair da UTI coronária colocaram meu pai e em seguida levaram um paciente dependente químico amarrado para o leito ao lado . Esse paciente gritava e vcs devem ter esse relato . Minha filha estava com meu pai orientei chamar assistente social e só assim levaram o paciente para um quarto em que ficou sozinho . Ai eu pergunto ele estava com a mãe se ele se solta e agride meu pai ou minha filha ? É muita irresponsabilidade na acham . Da ficar satisfeita? Se fosse parente de vocês o que  achariam ?"
QUEIXA,RECEPÇAO,TEMPO DE ESPERA,"Demorou muito o atendimento, fiquei deitada em uma sala esperando me chamar.
Ainda mais se tratando de uma traumatismo craniano, o tempo de espera foi muito longo."
QUEIXA,RECEPÇAO,TEMPO DE ESPERA,Demora no atendimento
QUEIXA,ADMINISTRATIVO,TEMPO DE ESPERA,Demora para internação
QUEIXA,ADMINISTRATIVO,FALTA DE MATERIAIS,5. Demorou 2 meses para que o hospital conseguisse comprar o material cirúrgico necessário para z cirurgia
QUEIXA,RECEPÇAO,TEMPO DE ESPERA,Demora no processo de reconhecimento facial e a paciente com extrema falta de ar
QUEIXA,RECEPÇAO,TEMPO DE ESPERA,Satisfeita com a equipe médica..nota 1000.. competentes e atenciosos...Mas senti uma desorganização na equipe da enfermagem..tenho 74 anos... só fui chamada para a cirurgia às 20hs...em jejum até de água desde às 22hs do dia anterior..reclamei muito..sem sucesso..estava desidratada.. pressão elevada..e sei que a falha não foi da equipe médica...mas devido a competência médica..estou bem..a cirurgia foi bem realizada..fui bem acompanhada após cirurgia.. Só houve esse conveniente...Espero que não ocorra com outras pessoas idosas.
QUEIXA,ADMINISTRATIVO,AUTORIZAÇÃO ,"Segundo que me deram alta errada 
Com meu nome e nome e dados de outro bebê 
E perderam os dados tudo do meu bebê"
QUEIXA,ADMINISTRATIVO,QUALIDADE,À questão é que tem gente no setor de informação que além de não saber explicar as coisas direito ainda é ignorante
QUEIXA,RECEPÇAO,ACOLHIMENTO,O atendente não foi mal educado mas também não deu muita atenção por isso considero médio
QUEIXA,RECEPÇAO,TEMPO DE ESPERA,Falta de orientação.  Tivemos que ir em 3 hospital pq ele tinha batido a cabeça também.  Não nos direcionou ao hospital certo
QUEIXA,ADMINISTRATIVO,AUTORIZAÇÃO ,Falta de informação sobre a internação
QUEIXA,ADMINISTRATIVO,INDISPONIBILIDADE DE LEITO,"demorou muito tempo para arranjar um local para me colocar, fiquei algumas horas no corredor, e a primeira noite fiquei dormi numa cama improvisada, nao tinha um leito"
QUEIXA,RECEPÇAO,QUALIDADE,As recepcionistas precisam ser mais solicitas com os pacientes
QUEIXA,ADMINISTRATIVO,QUALIDADE,"Me senti um trapo,sem uma orientação. Fiquei dois pra fazer um exame sem me alimentar e sem beber água. Um exame quê era pra ser feito logo pela manhã do dia anterior do meu internamento foi feito com mais de 48 horas e eusem me alimentar"
QUEIXA,ADMINISTRATIVO,AUTORIZAÇÃO ,O procedimento foi demorado
QUEIXA,RECEPÇAO,TEMPO DE ESPERA,Demorou um pouco
QUEIXA,RECEPÇAO,TEMPO DE ESPERA,"Muita demora no atendimento, falta de empatia e total despreparo dos funcionários cheguei ao local às 5:30 da manhã e so sair as 21:00 isso porque fui fazer reclamação inadmissível total falta de preparo foi uma experiência muito ##1f44e##"
QUEIXA,ADMINISTRATIVO,AUTORIZAÇÃO ,Não fez nem uma cirurgia e deram alta sem a documentação
ELOGIO,ADMINISTRATIVO,QUALIDADE,"Gostaria de agradecer imensamente pelo atendimento a todos os profissionais presentes no período em que precisei de atendimento, gratidão pelo profissionalismo e atendimento, cordialidade, atenção, limpeza, todos extremamente qualificados e educados."
QUEIXA,RECEPÇAO,TEMPO DE ESPERA,"Desgastante, agendou um horário e só foi ser realizada 4 horas após , haja vista que o  paciente tem autismo e outras questões como ansiedade, não podendo passar tantas horas em jejum onde o mesmo precisou ficar sem se alimentar a partir das 00:00 HS das vésperas do procedimento. Um verdadeiro descaso, falta de logística e organização. Precisa melhorar muito para ser um plano de saúde de qualidade. E ressalto aqui que questão não é por conta dos profissionais, mas, a propria  prestadora que não está preocupada em ofertar um serviço humanizado aos seus usuários. Outro ponto que achei o cúmulo foi que, a cirurgia foi finalizada já próximo de umas 19h e as 21: 30 aproximadamente deram alta , sem cumprir o tempo correto para observação. Sem cabimento algum ."
QUEIXA,RECEPÇAO,TEMPO DE ESPERA,Demora nos procedimentos
QUEIXA,ADMINISTRATIVO,QUALIDADE,Falta de respeito com o cidadão.Profissionais cheio de direito se fosse para da nota 0 eu dava 0 novamente
QUEIXA,TOTEM,FALHA NO APARELHO,Totem sem funcionar
QUEIXA,RECEPÇAO,QUALIDADE,Deveriam ser mais rápidos e ser mais atenciosos até porque é uma rede privada.
QUEIXA,RECEPÇAO,ACOLHIMENTO,"Falta de empatia no atendimento com os pacientes, falta de apoio e comunicação"
QUEIXA,RECEPÇAO,ACOLHIMENTO,"Geralmente nunca tem niguem pra auxiliar, como o fluxo do hapvida tá igual ou pior que uma UPA,super lotado,apenas uma pessoa só não  dá conta de auxiliar na porta,no totem,até porque os recepcionista só ficam sentados em atendimento lá.."
QUEIXA,ADMINISTRATIVO,INDISPONIBILIDADE DE LEITO,Recepção ok . Mais a forma da preparação e espera da sirugia orivel. Todos juntos. Homems. Mulheres . Idoso e jovem. Até Pessoas   doentes no mesmo lugar. Esperando ser chamado
QUEIXA,TOTEM,FALHA NO APARELHO,Totem não funcionava
QUEIXA,RECEPÇAO,TEMPO DE ESPERA,"Estava com contrações, minha bolsa já havia estourado e demorou bastante para que eu pudesse ser atendida"
QUEIXA,RECEPÇAO,ACOLHIMENTO,Muito descaso
QUEIXA,ADMINISTRATIVO,QUALIDADE,Muita gente no hospital
QUEIXA,ADMINISTRATIVO,INDISPONIBILIDADE DE LEITO,"Só tenho a questionar o momento que  ficamos fazendo todo o preparo, tipo o local que a gente fica, e a demora do leito para aguardar o momento da cirurgia."
QUEIXA,RECEPÇAO,TEMPO DE ESPERA,Hospital  muito cheio e desorganizado
QUEIXA,RECEPÇAO,ACOLHIMENTO,Recepcionista bastante antipatica
QUEIXA,MAQUEIRO,ACOLHIMENTO,Os maqueiro ajuda em nada
QUEIXA,RECEPÇAO,ACOLHIMENTO,Haviam dois colaboradores conversando próximo ao totem que até dificultaram minha aproximação
QUEIXA,ADMINISTRATIVO,AUTORIZAÇÃO ,Boa noite. Cheguei para ser internada as 00h porém fiquei até mais ou menos 1:30.h 2h da manhã para conseguir um.leito. perderam minha ficha e meu documento dentro do hospital
ELOGIO,RECEPÇAO,ACOLHIMENTO,sempre foi muito bem recebido e atendido por todos.
QUEIXA,ADMINISTRATIVO,TEMPO DE ESPERA,OK. Devido a demora da cirurgia que estava marcado pra 06;00 da manhã no domingo e foi realizado as 17:00 no domingo.
QUEIXA,ADMINISTRATIVO,INDISPONIBILIDADE DE LEITO,Falta de leito
QUEIXA,RECEPÇAO,ACOLHIMENTO,Não tive suporte necessário falta de maqueiro e as recepcionista malmorada
QUEIXA,ADMINISTRATIVO,QUALIDADE,Atendimento muito lento
QUEIXA,ADMINISTRATIVO,QUALIDADE,Passa pelo começo do parto na sala de medicacao foi constragedor
QUEIXA,RECEPÇAO,QUALIDADE,Muita ruim
QUEIXA,ADMINISTRATIVO,QUALIDADE,"A coordenadora da área, falou comigo 1x e me explicou algumas coisas, foi bom, mas so estava presente pela manha, o resto dia nao estava mais lá. Nao vejo sentido.
O caso da minha mae, era um CA de pancreas e sim, nós sempre tivemos conhecimento da gravidade.
Mas mesmo assim, eu acredito que o paciente nao deve ser tratado como """"sem jeito"""", merece respeito e cuidado até o ultimo suspiro.
E esse descaso, percebi no hapvida ao longo dos 15 meses que andamos em medicos, clinicas, consultorios."
ELOGIO,RECEPÇAO,QUALIDADE,Na chegada foi tudo bem
QUEIXA,RECEPÇAO,QUALIDADE,"Os recepcionistas que ficam na chegada do hospital/pronto socorro parecem que trabalham forçados. Mal humorados, não nos orientam bem. Sempre que preciso ir ao hospital sinto que os recepcionistas de forma geral estão muito insatisfeitos com a função que exercem."
