elogio_ou_queixa,grupo,motivo,comentario_p1
QUEIXA,ADMINISTRATIVO,TEMPO DE ESPERA,"Quanto ao hospital tá indo bem, o que demora são os procedimentos que tem que ser realizados como hemodiálise e demora muito o retorno."
QUEIXA,RECEPÇAO,ACOLHIMENTO,"Não tive apoio de ninguém na chegada, cheguei sangrando e com muita dor e o que a recepcionista falou foi q eu mesma fazia o atendimento no totem e assim fui até o totem e mesmo com dor abri o atendimento. Estava sozinha enquanto meus esposo estacionava o carro"
QUEIXA,RECEPÇAO,TEMPO DE ESPERA,Demora
QUEIXA,RECEPÇAO,TEMPO DE ESPERA,Muita lentidão no atendimento
QUEIXA,RECEPÇAO,TEMPO DE ESPERA,Super lotação
QUEIXA,RECEPÇAO,QUALIDADE,"Quando cheguei no hospital para o procedimento, já na  recepção barraram minha família, só fui informada o horário da cirurgia ao chegar no hospital.
Fiquei aguardando sozinha em uma sala, apenas técnicas de enfermagem apareceram para orientações e SSVV."
QUEIXA,RECEPÇAO,ACOLHIMENTO,Fiz a triagem só sem ajuda
QUEIXA,ADMINISTRATIVO,FALTA DE MATERIAIS,Não tinha  o anestesista
QUEIXA,RECEPÇAO,QUALIDADE,"ela chegou com muita dor, tanta que eu entrei com ela pela emegencia, o rapaaz auxiliou com a cadeira de rodas, e mesmo assim tivemos que passar pelo processo natural, mesmo ela chorando de dor"
ELOGIO,RECEPÇAO,QUALIDADE,Foi bom
QUEIXA,RECEPÇAO,TEMPO DE ESPERA,"A demora para ser internada, conforme horário agendado."
QUEIXA,RECEPÇAO,TEMPO DE ESPERA,"A demora para ser internada, conforme horário agendado."
QUEIXA,ADMINISTRATIVO,TEMPO DE ESPERA,Demora e descaso com a minha pessoa
QUEIXA,RECEPÇAO,TEMPO DE ESPERA,Esperei por muito tempo
QUEIXA,RECEPÇAO,TEMPO DE ESPERA,1
QUEIXA,RECEPÇAO,QUALIDADE,Td muito ruim
QUEIXA,ADMINISTRATIVO,AUTORIZAÇÃO ,"Problema com a elegibilidade do convênio 
Convênio ativo e estava dando que estava com carência"
QUEIXA,TOTEM,FALHA NO APARELHO,A digital para a identificação da julyana nao funcionou
