elogio_ou_queixa,grupo,motivo,comentario_p1
QUEIXA,RECEPÇAO,QUALIDADE,"Apenas uma pessoa para atender. Falta de conhecimento adequado com sistema, estava realizando outra entrada de cirurgia e não conseguia, atrasando o atendimento."
QUEIXA,ADMINISTRATIVO,REEMBOLSO,Não é com relação a chegada mais sim com o ressarcimento do valor da Instrumentadora
QUEIXA,ADMINISTRATIVO,INDISPONIBILIDADE DE LEITO,"REALIZEI MINHA CIRURGIA AS LOGO PELA MANHÃ. FUI PARA O PÓS CIRÚRGICOS E FIQUEI LÁ ATÉ QUASE AS 23HS DA NOITE, AGUARDO UM VAGAR UM QUARTO, A INFORMAÇÃO QUE OBTIVE POR CONTA DA DEMORA FOI DE QUE TODOS OS LEITOS ESTAVA OCUPADO.  MAS COMO MARCA UMA CIRURGIA ELETIVA E NÃO TEM LEITOS SUFICIENTE PARA OS PACIENTES. A MINHA ACOMPANHANTE FICOU NA RECEPÇÃO SEM PODER ME VER DESDE AS 7:30  ATÉ AS 23HS DA NOITE E NÃO TINHA UMA EQUIPE QUE PUDESSE DÁ INFORMAÇÃO.  OUTRO MOTIVO É QUE FIQUEI SENTINDO DOR E PRECISEI ESPERAR  HORAS ATÉ QUE ADMINISTRASSE O MEDICAMENTO.  FIQUEI INSASTIFEITA COM O SERVIÇO."
QUEIXA,RECEPÇAO,TEMPO DE ESPERA,Tempo de espera
QUEIXA,RECEPÇAO,ACOLHIMENTO,"Não é insatisfação, porém não fui abordado por ninguém, como já sei o procedimento me dirigi a máquina e tirei minha senha."
QUEIXA,RECEPÇAO,TEMPO DE ESPERA,"Muito atraso na alta de minha esposa.
A médica tinha dado alta pela manhã e só fomos liberados as 17hrs"
QUEIXA,RECEPÇAO,ACOLHIMENTO,"Recepcionista super fechada, esqueceu a pulseira de minha filha e falou que tinha mim dado sendo que não m entregou"
QUEIXA,RECEPÇAO,QUALIDADE,"Mau atendimento da recepcionada, ficou por varios minutos  no celular pesssoal em momento de trabalho"
QUEIXA,RECEPÇAO,QUALIDADE,Atendimento demorado e não esclarecimento de dúvidas
QUEIXA,ADMINISTRATIVO,INDISPONIBILIDADE DE LEITO,"Nao tive o direto de escolher o tipo do parto, queria cesaria mas insistiram em normal, meu bebê ficou em sofrimento fetal."
QUEIXA,RECEPÇAO,QUALIDADE,Desorganização da fila de pacientes que iriam realizar procedimentos cirúrgicos no dia
QUEIXA,RECEPÇAO,QUALIDADE,Fiquei insegura acabei a cirurgia 1 h depois me deram alta eu era de outra cidade minha pressão baixa a equipe estava em desespero pra mim sair logo mesmo eu passando mal
QUEIXA,RECEPÇAO,TEMPO DE ESPERA,Demora na espera para iniciar
QUEIXA,RECEPÇAO,QUALIDADE,"Super lotado, bagunça, barulho, funcionários mau humorados, vomito no chao por horas... demora no atendimento entre outras coisas"
QUEIXA,RECEPÇAO,QUALIDADE,São muito educados prestativos leva o nosso destino onde nós queremos ficar
QUEIXA,RECEPÇAO,TEMPO DE ESPERA,"A cirurgia estava marcada às 7h da manhã, cheguei às 5h e fui atendida na recepção às 7 da manhã com 3 pessoas na minha frente."
QUEIXA,RECEPÇAO,QUALIDADE,"A recepção precisa realmente ouvir a demanda do cliente, pra não haver nenhum desperdício de tempo e consultas desnecessárias."
QUEIXA,RECEPÇAO,QUALIDADE,"O recepcionista da troca do plantão foi super grosso, impaciente e zero empatia com o meu estado"
ELOGIO,RECEPÇAO,QUALIDADE,Muito bem estão todos de parabéns
QUEIXA,RECEPÇAO,QUALIDADE,Aparência física e não  comprometimento do prometido
QUEIXA,RECEPÇAO,QUALIDADE,"Porteiro foi muito bem receptivo,mas não tinha ninguém no totem no dia realizado"
QUEIXA,RECEPÇAO,TEMPO DE ESPERA,"O parto foi marcado com antecedência, chegando no hospital fizeram esperar mais de hora pq o nome não está lá agendado"
QUEIXA,RECEPÇAO,ACOLHIMENTO,Recepcionista cara fechada
QUEIXA,ADMINISTRATIVO,INDISPONIBILIDADE DE LEITO,"Vocês diviam ter vergonha na cara de vender um parto particular e caro,e não no dia do parto não ter leito pra gestante,me deixaram sofrendo igual uma condenada,nem soro vcs queriam liberar,senti dor por mais de 10 horas,só tomei soro pq meu marido fez confusão cm vcs,só fui operada pq meu marido fez confusão,e isso não foi só comigo não."
QUEIXA,RECEPÇAO,TEMPO DE ESPERA,"Demora no atendimento da recepção, porteiro não orienta, maqueiro demora para conduzir aos procedimentos e exames"
QUEIXA,RECEPÇAO,TEMPO DE ESPERA,Demora nas filas para o atendimento
QUEIXA,RECEPÇAO,TEMPO DE ESPERA,"demora no atendimento, recepcionistas despreparadas"
QUEIXA,PORTEIRO,QUALIDADE,"Na hora não tinha porteiro! Recepcionista, mal olham pra gente, quando vamos fazer alguma pergunta, falta não responder, (pelo menos no plantão que pegamos),
Vieram conversar com a gente de fato, somente na hora do pagamento, não são acolhedor, e parecem que estão lá apenas por está, mais nem todos foram assim, (teve uma moça que foi fazer a internação, ela foi super atenciosa!) 
Maqueiro, a demanda no hospital é muito grande, e quando foi para subir, demorou muito para alguém chegar!"
QUEIXA,TOTEM,FALHA NO APARELHO,no momento em que cheguei tinha um problema na recepção com relação ao sistema que não estava funcionando
QUEIXA,RECEPÇAO,TEMPO DE ESPERA,"Demorei um pouco para subir, e quando subiu minha pulseira veio sem os meus dados. Ai tiveram que solicitar outra. Houve um pouco de desorganização"
QUEIXA,MAQUEIRO,TEMPO DE ESPERA,"A ESPOSA DO PACIENTE RELATA QUE APÓS RECEBER ALTA MÉDICA TEVE QUE ESPERAR POR MAIS DE UMA HORA E MEIA O MAQUEIRO ALÉM DE TER PROBLEMAS POIS DEVIDO A UMA INSTABILIDADE DO SISTEMA TEVE QUE IR BORA E POR ISSO APÓS DOIS DIAS AO IR MARCAR A FISIOTERAPIA LHE INFORMARAM QUE EM SISTEMA CONSTAVA QUE SEU ESPOSO AINDA ESTAVA INTERNADO, O QUE FOI UM TRANSTORNO PARA RESOLVER."
QUEIXA,ADMINISTRATIVO,INDISPONIBILIDADE DE LEITO,"Quando cheguei pra internação não tinha aonde eu ficar, passei a noite ate a hora da cirurgia na sala de espera"
QUEIXA,RECEPÇAO,TEMPO DE ESPERA,Sempre a espera é longa
QUEIXA,RECEPÇAO,TEMPO DE ESPERA,Demora
QUEIXA,RECEPÇAO,TEMPO DE ESPERA,Atendentes sem saber informar e passando de uma pra outra
QUEIXA,RECEPÇAO,QUALIDADE,"Como cheguei durante a madrugada, fui direto para emergência obstétrica e lá não tinha ninguém na recepção. Entrei até a sala de atendimento e lá informaram que precisaria passar pela recepção geral. Acredito que poderiam deixar um aviso na recepção obstétrica que caso não tivesse ninguém que se dirigisse a primeira recepção. Ou se por ser madrugada e realmente não existir alguém para ficar nessa recepção obstétrica específica, que o porteiro já avisasse que era pra se dirigir a recepção principal, até pq eles perguntam pra onde estamos indo."
QUEIXA,RECEPÇAO,TEMPO DE ESPERA,"Dei entrada no eugenia pinheiro, aguardei mais de 5 horas pra dá entrada na internação"
QUEIXA,RECEPÇAO,TEMPO DE ESPERA,Foi muita espera eu sentindo dor demorou muito pra mim ser enternada
QUEIXA,RECEPÇAO,TEMPO DE ESPERA,Demora no atendimento
ELOGIO,RECEPÇAO,QUALIDADE,Desculpa digitei errado. Fui muito bem recebida e acolhida não tenho queixas
QUEIXA,RECEPÇAO,TEMPO DE ESPERA,"Muito tempo de esperar,  sem falar que os pacientes que chegaram depois de mim foram atendidos primeiro."
QUEIXA,RECEPÇAO,TEMPO DE ESPERA,Muita demora
QUEIXA,RECEPÇAO,QUALIDADE,A PACIENTE RELATA QUE O ATENDIMENTO DAS RECEPCIONISTAS DEIXOU MUITO A DESEJAR.
QUEIXA,RECEPÇAO,TEMPO DE ESPERA,Demorando muito e fila muito grande
QUEIXA,RECEPÇAO,QUALIDADE,não resolvem meu problema
QUEIXA,RECEPÇAO,QUALIDADE,Recepcionista não atende bem e conversa demais entre elas
QUEIXA,ADMINISTRATIVO,QUALIDADE," A FILHA DO PACIENTE RELATA QUE FICOU INSATISFEITA PORQUE NÃO PODE ACOMPANHAR SEU PAI DURANTE O PROCEDIMENTO, ONDE FICOU NA RECEPÇÃO SEM NOTÍCIAS A RESPEITO DO SEU PAI."
QUEIXA,RECEPÇAO,TEMPO DE ESPERA,"Muita espera, noa manda chegar em um horário, não somos orientados em fim"
QUEIXA,RECEPÇAO,TEMPO DE ESPERA,"Muita espera , pouca informação"
QUEIXA,RECEPÇAO,TEMPO DE ESPERA,Demora
QUEIXA,RECEPÇAO,QUALIDADE,Desoeganizacao
QUEIXA,RECEPÇAO,TEMPO DE ESPERA,Demorou pra atender
QUEIXA,RECEPÇAO,TEMPO DE ESPERA,Tempo de espera
QUEIXA,RECEPÇAO,ACOLHIMENTO,A PACIENTE RELATA QUE FICOU MUITO TEMPO NA TRIAGEM SENTINDO DOR O QUE A FEZ SE SENTIR POUCO ACOLHIDA.
QUEIXA,RECEPÇAO,QUALIDADE,A recepcionista não soube me direcionar de forma adequada
ELOGIO,MAQUEIRO,ACOLHIMENTO,Recepção e maqueiro foram ágeis na ajuda.
QUEIXA,RECEPÇAO,QUALIDADE,Recepcionista que estava atendendo no momento que cheguei no hospital era muito mal educada.
