elogio_ou_queixa.2,grupo.2,motivo.2,p3,comentario_p3
QUEIXA,ENFERMAGEM,QUALIDADE,3.0,"Como fiz outros procedimentos eu achei a equipe de enfermagem insegura, sem confiança até pra fazer um curativo"
QUEIXA,ENFERMAGEM,QUALIDADE,,Pouca assistência de enfermagem ou quase nada
QUEIXA,ENFERMAGEM,QUALIDADE,1.0,Péssimo atendimento
QUEIXA,ENFERMAGEM,QUALIDADE,1.0,Depois da cirurgia ninguém foi medir minha pressão e batimentos
QUEIXA,ENFERMAGEM,QUALIDADE,1.0,"Divergência de informações, falta de resolução de problemas."
QUEIXA,ENFERMAGEM,QUALIDADE,3.0,Péssimo
ELOGIO/QUEIXA,ENFERMAGEM,QUALIDADE,2.0,Tinham pessoas que estavam ali fazendo seu trabalho com experiência e respeitando o paciente como tinha pessoas que não queriam estar ali
QUEIXA,ENFERMAGEM,QUALIDADE,3.0,Pouco integrante nas equipes .
QUEIXA,ENFERMAGEM,QUALIDADE,1.0,Péssimo
QUEIXA,ENFERMAGEM,QUALIDADE,4.0,"Tenho fibromialgia, senti muitas dores e só me deram medicação 1 hora depois que foi comunicado a situação de muita dor. Sem falar que toda hora vinha alguém para fazer a leitura de minha digital isso prejudicou o meu descanso sendo que eu fiquei mais nervosa e isso aumentava as minhas dores. "
QUEIXA,ENFERMAGEM,CONDUTA,1.0,"Na sala de  pós cirúrgico, ainda sonolenta, acordei com uma enfermeira falando que era para acordar e tentar mexer as penas, pois eu estava demorando muito para voltar.... Usou das seguintes palavras: - Faz uma forcinha nas pernas se não vai demorar muito.
Assim o fiz, o que resultou em uma forte dor de cabeça, dor na nuca, enjôo, e náusea.
No mesmo dia já no quarto veio uma enfermeira que falou que daria alta e perguntou se eu estava bem.... Informei que estava com o sintomas acima mencionado e a mesma disse que ia passar. 
Ao ser levada de cadeira de rodas ao estacionamento, quase desmaiei de tanta dor.de cabeça e na nuca. Fui levada de volta ao quarto onde não quiseram me internar novamente e me deram uma dose muito forte de anestésico é assim fui dopada para casa.
Uma semana se passou sentido  muita dor.
Passei em tele consulta e foi passado mais remédio forte 
Como nada fazia passar a dor, procurei o  pronto socorro do hospital Bosque  da Saúde, e lá a médica de plantão chamou pelo anestesista, pois fui informada que teria que fazer o Blood Patch.
Lá esperei por mais de 4 horas até chegar o responsável da enfermaria que mais uma vez queria me enviar para casa. Foi quando disse que ia registrar um boletim de ocorrência por falta de atendimento.
Meia hora depois apareceu o cirurgião, que me internou e no dia seguinte fiz a reversão. Finalmente acabando com a minha dor.
Infelizmente nesse hospital também tive graves problemas. O que.chama.muito a minha atenção é que os enfermeiros estão tomando decisões que ao meu ver,  deveria ser de um médico."
QUEIXA,ENFERMAGEM,TEMPO DE ESPERA,1.0,Demora p ir atender ao chamado do paciente
QUEIXA,ENFERMAGEM,QUALIDADE,2.0,procedimentos sem luva e morosos
QUEIXA,ENFERMAGEM,QUALIDADE,,"O hospital tem uma instrutora incrível, porém os profissionais, precisam ser capacitados para atender os pacientes, os médicos não têm um atendimento humanizado, isso é em todos unidades, e tem poucos profissionais de enfermagem para atender a demanda que são muitas, precisar treinamento e conscientizar os profissionais que os pacientes estão aí precisando de ajuda e de empatia, que nem acolhimento humano. Isso é que está precisando. Muitos comentários são a Hapvida vida é um sus melhorado. Vocês precisam mudar essa filosofia. Que passam para a gente que somos clientes de vocês. "
QUEIXA,ENFERMAGEM,QUALIDADE,3.0,"Na UTI de noite não me deram atenção,chamava e faziam de conta que não me ouviam.Depois de horas passou uma boa pessoa que me ajudou, pena que foi perto do turno dela acabar.Depois que ela foi embora nem tentei chamar, sabia que não seria atendida .Já sabiam da minha existência no leito, mas me ignoravam do mesmo jeito.Em resumo nessa situação vivenciei como é horrível você depender de outro."
QUEIXA,ENFERMAGEM,QUALIDADE,3.0,"Bom dia, nao tem profissionais suficiente na emergencia quando um paciente e atendido o outro fica desamparado."
QUEIXA,ENFERMAGEM,CONDUTA,3.0,Foram intolerantes e fizeram comentários desagradáveis quando pedi um pouco de analgésico que o anestesista recomendou
QUEIXA,ENFERMAGEM,QUALIDADE,3.0,"A equipe de enfermagem tem o mesmo motivo relatado acima, poucos profissionais para atender a demanda"
QUEIXA,ENFERMAGEM,CONDUTA,1.0,"Enfermagem grosseira; falta informação, acolhimento"
QUEIXA,ENFERMAGEM,QUALIDADE,3.0,"Algumas foram ótimas, mas outras  não pareciam que não estavam querendo estar ali"
ELOGIO,ENFERMAGEM,QUALIDADE,1.0,Atenciosas
QUEIXA,ENFERMAGEM,QUALIDADE,1.0,"Não tive o suporte devido, tinha que ficar chamando o s enfermeiros e técnicos, pois tive hemorragia após a cirurgia.
Desasistida..."
QUEIXA,ENFERMAGEM,TEMPO DE ESPERA,3.0,Muita demora na ida para o quarto por falta de enfermeira
