elogio_ou_queixa,grupo,motivo,comentario_p1
QUEIXA,ADMINISTRATIVO,QUALIDADE,"a quantidade absurda de contribuintes , e a pequena quantidade de profissionais , inclusive a falta de comunicacao entre os profissionais , principalmente na area de internamento , causando a falta de suporte para o acompanhamento dos profissionais e principalmente acomodamento dos pacientes !"
QUEIXA,RECEPÇAO,TEMPO DE ESPERA,eu estive no tereza de lizeut por conta de um chamado do hospital apos um eletrocardiograma .cheguei as 13.30hs e so conseguir um leitor na emergencia as 02hs da manha isso pra mim foi uma falta de respeito
QUEIXA,RECEPÇAO,TEMPO DE ESPERA,"nao tive ajuda alguma de maqueiros ou porteiro ao chegar no hospital, nao houve nenhuma atencao por parte das recepcionistas meus acompanhantes tiveram que solicitar um atendimento rapido devido ao estado que eu estava."
QUEIXA,RECEPÇAO,ACOLHIMENTO,"boa noite, nao fiz cirurgia, foi internacao por erizipela fui tranferida na madrugada do hospital antonio prudente na ambulancia e chegando la a recepcionista mandou me levar de volta estando meu leitor reservado e devido isso minha situacao complicou pois foi parado o s antibioticos ate que tudo se resolvesse na tarde do dia seguinte, mas quando finalmente fiquei internada fui muito bem atendida por todos"
QUEIXA,RECEPÇAO,TEMPO DE ESPERA,"demorou muito, uma dificuldade pra internar, apos isso foi tudo bem... porem depois do procedimento ela poderia ter tomado um soro pra ficar mais forte."
QUEIXA,RECEPÇAO,ACOLHIMENTO,o atendimento insatisfatorio
QUEIXA,ADMINISTRATIVO,AUTORIZAÇÃO ,falarampra chegar as 22 00h. meu esposo so subiu meia noite.
QUEIXA,RECEPÇAO,TEMPO DE ESPERA,falta de acolhhimento da recepcao. o hospital passou a funcionar sem ter profissionais bem selecionados e treinados no atendimento
QUEIXA,RECEPÇAO,ACOLHIMENTO,nao tinha ninguem pra auxiliar no uso do totem.
QUEIXA,RECEPÇAO,QUALIDADE,"nao explicaram que ele ia ficar o dia todo no hospital, nao passaram informacoes, o exame demora ficamos apreensiva e nada, a equipe medica excelente, explicou o q foi feito. a insatisfacao eh falta de informacao da recepcao, porteiros e equipe de enfermagem nao atender muito"
