elogio_ou_queixa,grupo,motivo,comentario_p1
ELOGIO,RECEPÇAO,QUALIDADE,foi bom
ELOGIO,RECEPÇAO,QUALIDADE,"fui atendida rapidamente, todos muito solicitos"
ELOGIO,RECEPÇAO,QUALIDADE,otimo acolhimento
ELOGIO,RECEPÇAO,ACOLHIMENTO,otimo acolhimento
ELOGIO,ADMINISTRATIVO,ACOLHIMENTO,fui bem atendida.
ELOGIO,RECEPÇAO,QUALIDADE,muito satisfeito
ELOGIO,ADMINISTRATIVO,QUALIDADE,esposa do paciente elogia todo o atendimento do hospital.
ELOGIO,ADMINISTRATIVO,QUALIDADE,obrigado por tudo
ELOGIO,ADMINISTRATIVO,QUALIDADE,obrigado por tudo
ELOGIO,ADMINISTRATIVO,QUALIDADE,recebimento excelente pouca espera com profissionais atenciosos
ELOGIO,ADMINISTRATIVO,QUALIDADE,"cheguei com o servico de ambulancia otimo atendimento, apos ser deixado na uti, estava sozinha com meu filho e tive que deixa lo pra ir fazer a internacao."
ELOGIO,ADMINISTRATIVO,QUALIDADE,a esposa do paciente elogia todo o atendimento do hospital sao bernardo.
ELOGIO,ADMINISTRATIVO,QUALIDADE,a paciente elogia todo o atendimento no hospital.
ELOGIO,RECEPÇAO,QUALIDADE,"rapidez, atencao, organizacao."
ELOGIO,RECEPÇAO,ACOLHIMENTO,"meu totem nunca funciona ,quem me ajuda sempre a atendente"
ELOGIO,ADMINISTRATIVO,QUALIDADE,a paciente elogia todo o atendimento do hospital antonio prudente de natal pela excelente qualidade.
ELOGIO,RECEPÇAO,QUALIDADE,muito bem acolhido bom atendimento
ELOGIO,ADMINISTRATIVO,ACOLHIMENTO,ao chegar fui bem recebido todos muito bem atencioso
ELOGIO,ADMINISTRATIVO,QUALIDADE,"a irma da paciente elogia todo o atendimento do hospital espinheiro, pela sua excelente qualidade."
ELOGIO,ADMINISTRATIVO,QUALIDADE,"a mae da paciente elogia todos os profissionais da clinica conveniada, nucleo de terapia santo andre, onde sua filha faz acompanhamento por psicologos e fonoaudiologo, devido a ser paciente autista. e destaca que faz um ano que ela e acompanhada la e que sua filha ja desenvolveu bastante."
ELOGIO,ADMINISTRATIVO,QUALIDADE,a paciente elogia todo o atendimento do hospital america.
ELOGIO,ADMINISTRATIVO,QUALIDADE,a paciente elogia todos os profissionais pelo excelente atendimento e elogia tambem toda a estrutura do hospital santa maria.
ELOGIO,RECEPÇAO,ACOLHIMENTO,todos muito educados e atenciosos
ELOGIO,RECEPÇAO,QUALIDADE,atendimento rapido e eficaz
ELOGIO,RECEPÇAO,QUALIDADE,o atendimento foi bem rapido e os funcionarios prestativos e gentis
ELOGIO,RECEPÇAO,QUALIDADE,o atendimento foi bem rapido e os funcionarios prestativos e gentis
ELOGIO,PORTEIRO,ACOLHIMENTO,o porteiro 5
ELOGIO,RECEPÇAO,QUALIDADE,"bom e rapido atendimento, eficiencia dos profissionais"
ELOGIO,RECEPÇAO,QUALIDADE,otimo
ELOGIO,RECEPÇAO,QUALIDADE,"gente avaliei errado. eu fiquei muito satisfeita. tanto no acolhimento, procedimento e os profissionais. nao tenho o que reclamar"
ELOGIO,RECEPÇAO,ACOLHIMENTO,gentileza e agilidade
ELOGIO,ADMINISTRATIVO,ACOLHIMENTO,muito emocionante muito grata por toda equipe otimo atendimento
ELOGIO,RECEPÇAO,QUALIDADE,desculpe respondo errado foi um bom atendimento
ELOGIO,RECEPÇAO,QUALIDADE,minha mae era bem idosa e o atendimento foi bem rapido.
ELOGIO,RECEPÇAO,QUALIDADE,sempre bem atendida
ELOGIO,PORTEIRO,QUALIDADE,em relacao ao porteiro otimo atendimento
ELOGIO,RECEPÇAO,QUALIDADE,otimo atendimento
ELOGIO,ADMINISTRATIVO,QUALIDADE,todos me atenderam com educacao e fizeram as orientacoes necessarias
ELOGIO,RECEPÇAO,QUALIDADE,"otimo atendimento , desde a recepcao ate a cirurgia e a equipe medica"
ELOGIO,RECEPÇAO,ACOLHIMENTO,"nao, na chegada foi tudo bem"
ELOGIO,RECEPÇAO,ACOLHIMENTO,acesso. facil. recepcao otima
ELOGIO,RECEPÇAO,QUALIDADE,o atendimento foi normal
ELOGIO,RECEPÇAO,ACOLHIMENTO,"acolhida adequada, informacoes corretas e pontualidade."
ELOGIO,RECEPÇAO,QUALIDADE,foi transferencia entao nao tive muito experiencia nesta parte
ELOGIO,RECEPÇAO,QUALIDADE,atendimento rapido e agil
ELOGIO,TOTEM,QUALIDADE,"eu mesma me identifiquei no token, entao foi rapido"
ELOGIO,ADMINISTRATIVO,QUALIDADE,nao tenho nenhuma reclamacao fui muito bem atendida por todos otimos atendimento por todas equipes so tenho a agradecer muito obrigado
ELOGIO,RECEPÇAO,ACOLHIMENTO,foi muito bem atendido pela equipe de enfermagem recepcao dra marcela maravilhosa mandou parabens para toda equipe limpeza e organizacao muito bom.
ELOGIO,ADMINISTRATIVO,QUALIDADE,"fui muito feliz com meu procedimento feito no hospital! me surpreendeu demais! ambientes organizados e limpos, otimo profissionais. a atencao do doutor foi sensacional me deixando bem confortavel e confiante!"
ELOGIO,RECEPÇAO,QUALIDADE,no momento da chegada foi ok.
ELOGIO,RECEPÇAO,QUALIDADE,sao muito profissional atencioso
ELOGIO,RECEPÇAO,QUALIDADE,fui muito bem atendida e internada
ELOGIO,RECEPÇAO,QUALIDADE,"atendentes inexperiente, falta de comunicacao e respeito com os pacientes"
ELOGIO,RECEPÇAO,QUALIDADE,demora na remissao da senha
ELOGIO,RECEPÇAO,ACOLHIMENTO,fui bem recebida
ELOGIO,ADMINISTRATIVO,ACOLHIMENTO,muito bem tratada
ELOGIO,ADMINISTRATIVO,QUALIDADE,desculpa!!! fiz errado eu amei tudo no hospitel
ELOGIO,RECEPÇAO,QUALIDADE,foi tudo muito rapido o atendimento
ELOGIO,RECEPÇAO,QUALIDADE,desculpa marquei errado foi muito bem atendida
ELOGIO,RECEPÇAO,QUALIDADE,"houve um erro na informacao sobre meu acompanhante, onde a recepcao foi muito gentil e esclareceu algumas duvidas e direitos, porem o restante da equipe nao tinha as mesmas informacoes."
ELOGIO,RECEPÇAO,QUALIDADE,"ta mais ou menos , precisa melhorar o atendimento principalmente com pessoas de idade que sao mais leigas"
ELOGIO,RECEPÇAO,QUALIDADE,"ta mais ou menos , precisa melhorar o atendimento principalmente com pessoas de idade que sao mais leigas"
ELOGIO,RECEPÇAO,ACOLHIMENTO,"chegamos com o paulo passando mt mal fomos prontamente atendidos, tanto pela recepcao medicos enfermagem so tenho agradecer"
ELOGIO,RECEPÇAO,QUALIDADE,rapido e pratico
ELOGIO,ADMINISTRATIVO,QUALIDADE,"muito prestativos, esclareceram todas as minhas duvidas"
ELOGIO,RECEPÇAO,QUALIDADE,atendimento otimo
ELOGIO,ADMINISTRATIVO,QUALIDADE,"desde a entrada ao hospital, fui muito bem atendida, nao tenho do que reclamar."
ELOGIO,ADMINISTRATIVO,QUALIDADE,"bom e rapido atendimento, eficiencia dos profissionais"
ELOGIO,RECEPÇAO,QUALIDADE,fui bem atendida me tiraram todas as duvidas sempre tinha alguem me orientando
ELOGIO,RECEPÇAO,QUALIDADE,atendimento bom
ELOGIO,RECEPÇAO,QUALIDADE,fui bem atendido
