comentario_p1,previsao,probabilidade_de_acerto
"a quantidade absurda de contribuintes , e a pequena quantidade de profissionais , inclusive a falta de comunicacao entre os profissionais , principalmente na area de internamento , causando a falta de suporte para o acompanhamento dos profissionais e principalmente acomodamento dos pacientes !",OUTROS,88.12%
eu estive no tereza de lizeut por conta de um chamado do hospital apos um eletrocardiograma .cheguei as 13.30hs e so conseguir um leitor na emergencia as 02hs da manha isso pra mim foi uma falta de respeito,QUEIXA,98.25%
"nao tive ajuda alguma de maqueiros ou porteiro ao chegar no hospital, nao houve nenhuma atencao por parte das recepcionistas meus acompanhantes tiveram que solicitar um atendimento rapido devido ao estado que eu estava.",QUEIXA,95.5%
"boa noite, nao fiz cirurgia, foi internacao por erizipela fui tranferida na madrugada do hospital antonio prudente na ambulancia e chegando la a recepcionista mandou me levar de volta estando meu leitor reservado e devido isso minha situacao complicou pois foi parado o s antibioticos ate que tudo se resolvesse na tarde do dia seguinte, mas quando finalmente fiquei internada fui muito bem atendida por todos",QUEIXA,93.44%
"demorou muito, uma dificuldade pra internar, apos isso foi tudo bem... porem depois do procedimento ela poderia ter tomado um soro pra ficar mais forte.",QUEIXA,97.78%
o atendimento insatisfatorio,OUTROS,81.75%
falarampra chegar as 22 00h. meu esposo so subiu meia noite.,OUTROS,85.01%
"espero que parem de mandar mensagem pois esse numero nao pertence a zuila, infelizmente ela faleceu",QUEIXA,95.73%
falta de acolhhimento da recepcao. o hospital passou a funcionar sem ter profissionais bem selecionados e treinados no atendimento,QUEIXA,97.34%
nao tinha ninguem pra auxiliar no uso do totem.,QUEIXA,97.97%
"nao explicaram que ele ia ficar o dia todo no hospital, nao passaram informacoes, o exame demora ficamos apreensiva e nada, a equipe medica excelente, explicou o q foi feito. a insatisfacao eh falta de informacao da recepcao, porteiros e equipe de enfermagem nao atender muito",QUEIXA,97.37%
"somos da cidade de sorocaba ela chegou em uma segunda feira que estava marcado para realizar o procedimento chegamos la hospital nao sabia do caso ela ficou uma semana aguardando para fazer angioplastia porque o convenio nao liberava tudo pra o procedimento quando chegou na sexta o medico perguntou se autorizamos fazer faltando alguns itens liberamos pois eramos de sorocaba gastamos mais de 1000 mil de combustivel e cuidadora para ficar com ela pois ela tem um filho so eu sou a nora nos trabalhamos nao tinha quem ficassem fora o que gastamos de combustivel chegou a hora da cirurgia que foi uma sexta a noite tiraram a cuidadora por sinal bem mal educados falaram que o quarto e para paciente nao para cuidadora ela passou a noite na recepcao do hospital ate no horario do dia seguinte para receber a alta fiz varias reclamacoes nao adiantou nada 1f44e . e entao resolvemos entrar com advogado pelo mal atendimento e por terem feito desfeita com pessoa que sao de outra cidade e nao tinham condicoes de ficar indo e voltando sorocaba fizemos reclamacao inclusive do atendimento pessimo inclusive do reembolso por todo prejuizo e ninguem resolveu nada porque o hospital daqui de sorocaba falou que ela ia de ambulancia e retomava no mesmo dia ou um dia apos nessa brincadeira de mal resolvido sobre as coisas tivemos um prejuizo de 1500 ,00 sendo que ela e aposentada em todos os procedimentos que temos feito com ela aqui em sorocaba so brigando pra resolver",QUEIXA,98.26%
"o hospital estava com muitos quartos vagos , mas ficamos 4 horas no pa esperando uma ambulancia. e ao chegar no hospital mais 4 horas para um quarto , os proprios enfermeiros acharam estranho a demora e disseram q tinha muitos quartos vagos . apos sair da uti coronaria colocaram meu pai e em seguida levaram um paciente dependente quimico amarrado para o leito ao lado . esse paciente gritava e vcs devem ter esse relato . minha filha estava com meu pai orientei chamar assistente social e so assim levaram o paciente para um quarto em que ficou sozinho . ai eu pergunto ele estava com a mae se ele se solta e agride meu pai ou minha filha ? e muita irresponsabilidade na acham . da ficar satisfeita? se fosse parente de voces o que achariam ?",QUEIXA,98.2%
"demorou muito o atendimento, fiquei deitada em uma sala esperando me chamar. ainda mais se tratando de uma traumatismo craniano, o tempo de espera foi muito longo.",QUEIXA,98.23%
demora no atendimento,QUEIXA,97.91%
desculpe errei e 5,ELOGIO,91.67%
perdao e 4 satisfeito,ELOGIO,93.72%
desculpe digitei errado,ELOGIO,98.88%
desculpe iria marcar 5,OUTROS,67.69%
nao tenho interesse,OUTROS,82.79%
prefiro nao falar,QUEIXA,95.39%
demora para internacao,QUEIXA,98.2%
5. demorou 2 meses para que o hospital conseguisse comprar o material cirurgico necessario para z cirurgia,QUEIXA,97.43%
demora no processo de reconhecimento facial e a paciente com extrema falta de ar,QUEIXA,97.64%
satisfeita com a equipe medica..nota 1000.. competentes e atenciosos...mas senti uma desorganizacao na equipe da enfermagem..tenho 74 anos... so fui chamada para a cirurgia as 20hs...em jejum ate de agua desde as 22hs do dia anterior..reclamei muito..sem sucesso..estava desidratada.. pressao elevada..e sei que a falha nao foi da equipe medica...mas devido a competencia medica..estou bem..a cirurgia foi bem realizada..fui bem acompanhada apos cirurgia.. so houve esse conveniente...espero que nao ocorra com outras pessoas idosas.,OUTROS,89.29%
segundo que me deram alta errada com meu nome e nome e dados de outro bebe e perderam os dados tudo do meu bebe,QUEIXA,93.48%
a questao e que tem gente no setor de informacao que alem de nao saber explicar as coisas direito ainda e ignorante,QUEIXA,97.29%
o atendente nao foi mal educado mas tambem nao deu muita atencao por isso considero medio,QUEIXA,96.97%
falta de orientacao. tivemos que ir em 3 hospital pq ele tinha batido a cabeca tambem. nao nos direcionou ao hospital certo,QUEIXA,97.71%
falta de informacao sobre a internacao,QUEIXA,97.98%
"demorou muito tempo para arranjar um local para me colocar, fiquei algumas horas no corredor, e a primeira noite fiquei dormi numa cama improvisada, nao tinha um leito",QUEIXA,98.04%
as recepcionistas precisam ser mais solicitas com os pacientes,QUEIXA,97.92%
"me senti um trapo,sem uma orientacao. fiquei dois pra fazer um exame sem me alimentar e sem beber agua. um exame que era pra ser feito logo pela manha do dia anterior do meu internamento foi feito com mais de 48 horas e eusem me alimentar",QUEIXA,97.96%
desculpe a resposta e 5,OUTROS,83.78%
o procedimento foi demorado,QUEIXA,94.8%
demorou um pouco,QUEIXA,97.7%
"muita demora no atendimento, falta de empatia e total despreparo dos funcionarios cheguei ao local as 5 30 da manha e so sair as 21 00 isso porque fui fazer reclamacao inadmissivel total falta de preparo foi uma experiencia muito 1f44e",QUEIXA,98.1%
nao fez nem uma cirurgia e deram alta sem a documentacao,QUEIXA,97.95%
"gostaria de agradecer imensamente pelo atendimento a todos os profissionais presentes no periodo em que precisei de atendimento, gratidao pelo profissionalismo e atendimento, cordialidade, atencao, limpeza, todos extremamente qualificados e educados.",OUTROS,78.46%
"desgastante, agendou um horario e so foi ser realizada 4 horas apos , haja vista que o paciente tem autismo e outras questoes como ansiedade, nao podendo passar tantas horas em jejum onde o mesmo precisou ficar sem se alimentar a partir das 00 00 hs das vesperas do procedimento. um verdadeiro descaso, falta de logistica e organizacao. precisa melhorar muito para ser um plano de saude de qualidade. e ressalto aqui que questao nao e por conta dos profissionais, mas, a propria prestadora que nao esta preocupada em ofertar um servico humanizado aos seus usuarios. outro ponto que achei o cumulo foi que, a cirurgia foi finalizada ja proximo de umas 19h e as 21 30 aproximadamente deram alta , sem cumprir o tempo correto para observacao. sem cabimento algum .",QUEIXA,98.15%
demora nos procedimentos,QUEIXA,95.98%
eita cliquei errado,ELOGIO,91.6%
desculpa,ELOGIO,97.65%
falta de respeito com o cidadao.profissionais cheio de direito se fosse para da nota 0 eu dava 0 novamente,QUEIXA,94.72%
