grupo,comentario_p1
ADMINISTRATIVO,"mandaram eu chegar 6h da manha, quando cheguei la fui informada que minha cirurgia era 11h e so faria minha entrada 10h"
ADMINISTRATIVO,"nao tenho insatisfacao, fui muito bem atendida por todos"
ADMINISTRATIVO,"a cirurgia que era pra ter sido feita no dia 31 07 ela nao aconteceu, siqueira no hospital de 8hs da manha ate as 15.15hs aguardando em jejum pra cirurgia nao acontecer 1f621 . porem a cirurgia foi feita em 21 8 ai sim....... satisfeita com cirurgia bem sucedida so que com um problema, so foi colocado o colar cervical no momento da minha alta, acho que isso foi em erro, mais td bem, acabou dando certo 1f926 200d 2640 fe0f"
ADMINISTRATIVO,achei muito demorado para a realizacao da cirurgia.
ADMINISTRATIVO,muita demora em tudo
ADMINISTRATIVO,demora para realizar internacao.
ADMINISTRATIVO,"o hospital estava tendo queda de luz, estavam fazendo manutencao nos geradores. estavam sem ar condicionado"
ADMINISTRATIVO,povo nao muito receptivo
ADMINISTRATIVO,me senti totalmente perdida e ninguem da bola pra isso
ADMINISTRATIVO,todas as vezes que cheguei ao hospital necessitando de cadeira de rodas e suporte ! nao tive .
ADMINISTRATIVO,"demora no atendimento ,demora pro medico chegar ,pois foram mais de 8 horas em jejum uma crianca com apenas dois anos achei um absurdo"
RECEPÇAO,"o tempo de espera foi muito longo, cheguei por volta de 6 30 minha cirurgia aconteceu mais ou menos 16 40."
ADMINISTRATIVO,"sem maqueiro, um sobe e desce sem local fixo para espera, uma falta de respeito com o acompanhante, comunicacao 0, falta de informacao, tratamento rude com o paciente"
ADMINISTRATIVO,"ok. fiquei horas sentado no sofa, com roupa da cirurgia passando frio com os pes no chao gelado"
ADMINISTRATIVO,"demora no atendimento, falta informacoes a respeito dos horarios das visitas"
ADMINISTRATIVO,muita espera para dar informacoes.
RECEPÇAO,"as recepcionista sao muito antipatica , e quando vamos perguntar alguma coisa responde com grosseria"
ADMINISTRATIVO,rapido
ADMINISTRATIVO,"marcaram minha chegada para as 06 00 e so fui para o bloco cirurgico as 15 00, achei que o tempo que nos solicitaram pra chegar foi demais pq estavamos em jejum desde o dia anterior"
ADMINISTRATIVO,a demora no atendimento
ADMINISTRATIVO,dificuldade para o boleto
RECEPÇAO,recepcionista bem apatica e com falta de atencao
ADMINISTRATIVO,ja relatei isso em outra avaliacao que foi marcado minha cirurgia pra 5 30 da manha quando chegar la no hospital brasiliense falam que era 11 45 onde eu ja estava a mais de 12 horas de jejum e nao tinha ninguem pra responder foi isso
MAQUEIRO,"houve muita demora em relacao ao maqueiro. pelo visto so tinha um, pra atender todos os 6 ou 7 andares. a recepcionista foi muito bem e os porteiros fizeram a parte deles."
ADMINISTRATIVO,"ficamos esperando em um lugar desconfortavel, do comeco ao final."
ADMINISTRATIVO,orientacao muito confusa
RECEPÇAO,"fui internada para fazer uma colonoscopia, e fiquei das 6 00hs da manha ate as 20 00hs sem fazer o procedimento so foi feito porque pedir para ir embora, ai entao me atenderam."
ADMINISTRATIVO,"ninguem conseguiu indicar pra onde eu iria tambem nao tinha ,tive que me virar sozinha andando pra todos lados ate achar e quando alguem indica estava errado o lugar"
ADMINISTRATIVO,"a demora para efetuar minha internacao, eu cheguei no hospital setor de internacao por volta das 14 hs so fui encaminhada pro 3 andar ja era mais de 15 hs lembrando que estava de jejum de 8hs"
ADMINISTRATIVO,ficamos aguardando por horas para liberacao do quarto
ADMINISTRATIVO,cheguei bem antes do meu horario de internacao
ADMINISTRATIVO,nao tivemos acesso a apartamento. e nao pude ver as instalacoes que meu filho ficou
ADMINISTRATIVO,espera
RECEPÇAO,sempre o atendimento na recepcao e sempre muito estressada parece que estao sempre sobrecarregados
ADMINISTRATIVO,"demorou mais do que esperado, o bebe estava em jejum"
ADMINISTRATIVO,"apos a cirurgia eu fiquei jogado la no corredor, porque nao tinha vaga na enfermaria, direito meu ter ido para enfermaria, mas por falta de vaga fiquei jogado no corredor, vergonha."
RECEPÇAO,"estao. solicitaram para que chegassemos um certo horario para da entrada, fizemos da forma que orientaram, contudo, a cirurgia atrasou bastante, davi, uma crianca autista, ficou extremamente agitado, informei a condicao dele, ainda assim, o horario da cirurgia dele estava muito alem do horario previamente agendado."
ADMINISTRATIVO,a demora no atendimento.
ADMINISTRATIVO,mandaram chegar muito cedo e so fui ser atendida pra fazer ficha mais de 2 horas depois. fiquei em quarto coletivo e nao em apartamento como eh do meu plano.
ADMINISTRATIVO,"na verdade ainda nao cheguei no hospital. era para eu estar a caminho da cidade de belem, porem a incompetencia das funcionarias do hapvida, me impediu de sair esta manha. agora terei que ir durante a noite, irei me atrasar para encontrar a moca da autorizacao, a hospedagem so estara disponivel as 14 00. foi solicitado a minha saida da cidade de parauapebas, as sete da manha, porem a moca, talvez possuindo algum problema de memoria, nao realizou o pedido adequadamente. agora a preocupacao, a ansiedade esta me incomodando, pois nao tenho certeza se irei conseguir chegar a tempo em belem para falar com quem devo falar antes da cirurgia. isso e realmente me deixa insatisfeita, pois confiamos em uma empresa, confiamos em um plano de saude e e assim que somos tratados."
